annotation,answer_firstword,question_firstword,text
factoid,,What,What strategy was employed by activists to put AIDS on the map? _A_ birdoggiing _A_ demanding to domestic policy _A_ acting on the international HIV/AIDS crisis _A_ employing more activists _A_ none of the above
factoid,,What,What is the only way to fight AIDS? _A_ UNAIDS shall pose humanitarian challenges to the United States _A_ reduce the infection rate _A_ have access to adequate funding _A_ elect a candidate of the Democratic Party _A_ none of the above
cause,because,Why,Why is it important to pay close attention to the '08 Stop AIDS Platform? _A_ because it employs the same strategy _A_ because it supports the Democratic Party _A_ because it aims at forcing politician to keep their promise _A_ because it will be presented at the G8 Summit _A_ none of the above
cause,because,Why,Why will there be 20 million children orphaned by AIDS by 2010? _A_ because of the '08 Stop AIDS platform _A_ because AIDS is affecting people of colour _A_ because people are living with AIDS _A_ because of the rhetoric spoken at the G8 Summit _A_ none of the above
factoid,to,Which,Which is the final objective of the '08 Stop AIDS Platform? _A_ to get American politics to commit to $6 billion by 2013 to fight HIV/AIDS _A_ to get American politics to commit to $15 billion by 2013 to fight HIV/AIDS _A_ to get American politics to commit to $30 billion by 2013 to fight HIV/AIDS _A_ to get American politics to commit to $50 billion by 2013 to fight HIV/AIDS _A_ None of the above
factoid,,Who,Who agreed to commit to $50 billion to fight AIDS? _A_ the 2004 Democratic candidate for vice president _A_ Barack Obama _A_ the current President of the United States _A_ the Vice President of the United States _A_ None of the above
factoid,,Who,Who agreed to commit to $50 billion to fight AIDS? _A_ John Edwards _A_ Barack Obama _A_ the current President of the United States _A_ the Vice President of the United States _A_ none of the above
quantity,,According,"According to the United Nations Programme headquartered in Geneva, how many people will be in the need of treatment by 2010? _A_ 2.5 million people _A_ 10 million people _A_ 2 million people _A_ 7 million people _A_ None of the above"
quantity,,According,"According to the UNAIDS, how many people will be in need of treatment by 2010? _A_ 2.5 million people _A_ 10 million people _A_ 2 million people _A_ 7 million people _A_ None of the above"
quantity,,How,How many people does the new President's Emergency Plan for AIDS Relief aim to treat? _A_ 10 million people _A_ 2 million people _A_ 7 million people _A_ 2.5 million people _A_ None of the above
cause,,Name,Name a consequence of the G8 Summit. _A_ all people had access to treatment _A_ people were infected by HIV _A_ activists attended the Take Back America Conference _A_ Senator Joe Biden commited himself to the AIDS cause _A_ none of the above
factoid,by,How,How will America's place in history be determined? _A_ by signing the PEPFAR _A_ by signing UNAIDS projects _A_ by helping impoverished countries _A_ by finding a house abroad _A_ none of the above
factoid,,Who,Who is to blame for U.S. policies toward HIV/AIDS? _A_ The '08 Stop AIDS Platform _A_ people living with AIDS _A_ people in need of treatment _A_ global health diplomacy _A_ none of the above
factoid,,According,"According to the text, what is considered a ""misunderstanding of the facts""? _A_ President Bush's recent announcement  _A_ the current U.S. policies toward HIV/AIDS _A_ the Democratic Party _A_ global AIDS _A_ none of the above"
